Carmelo Nossa Senhora dos Passos;Monte Carmelo, 78;Cristo Rei;93022-240;São Leopoldo;carmelosleo@sinos.net;(51)3592-1441;https://www.irmascarmelitas.com.br/index.php;RS;;-29,758;-51,147
Carmelo Nossa Senhora do Carmo;Rua Dr. Luiz Mallo, 33;Bairro Itararé;97045-520;Santa Maria;irmascarmelitas.sm@gmail.com;(55)3221-4099;https://www.facebook.com/irmascarmelitas.sm https://www.instagram.com/irmascarmelitas.sm;RS;;-29,691;-53,807
Carmelo Coração Eucarístico de Jesus;Rua Alfredo Assumpção,60 Cx Postal 509;Bairro Laranjal;96095-700;Pelotas;carmelodepelotas@gmail.com;(53)3226.1157;;RS;;-31,758;-52,359
Carmelo Sagrado Coração de Jesus;José Bonifácio, 400;Oliveira;98801-270;Santo Ângelo;carmelosangelo@yahoo.com.br;(55)3312-;http://www.carmelosangelo.blogspot.com.br/;RS;;;
Carmelo Imaculado Coração de Maria;Pe. Dionysio Basso, 2550;Caixa Postal 109;98870-000;Giruá;carmelogirua33@gmail.com;(55)3361-1063;http://carmelogirua.blogspot.com/;RS;;-28,028;-54,351
Mosteiro Mãe de Deus Conquistadora;Rua Guaíra, 1100;Bairro Esperança;98900-000;Santa Rosa;mmd.rs@terra.com.br;(55) 35121792 (55)35127340;;RS;;;
Convento São Boaventura-Freis Capuchinhos;;;;Marau;;;;RS;;;
Mosteiro Nazaré Irmãs Clarissas Pobres;Av.Papa João XXIII,1113;Petrópolis;88505-200;Lages;clarissasnazare@hotmail.com;(49)3222-2958;https://www.clarissas.net.br/mosteiros.php http://clarissaslagesclara.blogspot.com www.youtube.com/MosteiroNazare;SC;;-27,816;-50,322
Carmelo Santa Teresa e da Divina Misericórdia;Rua Benjamin Constant,425;Cabeçudas;88301-970;Itajaí;carmelosantateresa@yahoo.com.br;(47)3348-7343;https://www.facebook.com/carmelo.itajai/;SC;;-26,907;-48,662
Mosteiro Monte Carmelo -Mosteiro da Ressureição;Estrada Geral;Barranco Alto;88320-000;Ilhota;css.mosteirodaressurreicao@gmail.com;(47)99992-0697;https://www.facebook.com/casadaressurreicao/;SC;;-26,903;-48,826
Mosteiro Trapista Nossa Senhora da Boa Vista;Rodovia Br 280 Km 136 Rin 462;;89295-000;Rio Negrinho;https://www.trapistasboavista.com/vocacional;(47)3646-3197;https://www.trapistasboavista.com/;SC;;-26,25;-49,518
Mosteiro Rainha Imaculada Rainha da Paz;João de Lima Cubas,124;Guanabara;89207-340;Joinville;ficoncepcionistas@yahoo.com.br;(47)3426-2444;http://concepcionistas.org.br/new/;SC;;-26,304;-48,84
Noviciado dos Freis Capuchinhos;Rua Santa Catarina,9911;;;Joinville;frmsolfa@yahoo.com.br;(47)3463-0401;https://sejacapuchinho.org/site/portfolio/noviciado-2/;SC;;;
Fraternidade Patrocínio de São José - Convento Franciscano;Rua Lauro Müller, 298;;88501-130;Lages;conventofranciscalages@gmail.com;(49)3222-6489;fb.com/conventinhofranciscanodelages/;SC;;-27,816;-50,326
Mosteiro da Ressureição;Rua Frei Tiago Luchese;Caixa Postal 16;84064-270;Ponta Grossa;grupoparavisita@gmail.com/ d.mateusdesalles@gmail.com periodico.mosteiro@gmail.com missas.mosteiro@gmail.com;(42)3228-0043;https://www.ressurreicao.org.br/;PR;;-25,074;-50,185
Convento São Francisco de Assis;Fr. Tiago Lucchese, s/n Cx. P. 1579;Chapada;84071-980;Ponta Grossa;;(42)3228;https://fmmissionarios.blogspot.com/p/enderecos.html;PR;;-25,119;-50,136
Convento Bom Jesus- Freis Capuchinhos;Rua Teixeira Mendes,284;Uvaranas;84001-970;Ponta Grossa;freisprsc@gmail.com;(42)3226-1130;http://sejacapuchinho.org/site/;PR;;-25,095;-50,162
Convento Nossa Senhora do Cenáculo;Rua Nunes Machado,150;Colonia Dona Luiza;84045-410;Ponta Grossa;;(42)3229-1629;https://l.facebook.com/l.php;PR;;-25,082;-50,177
Convento Santo Antônio;R. Frei Natali?o Luiz Zandoná, 28 Cx. P. 1692;Chapada;84062-702;Ponta Grossa;;(42)3236-3267;https://fmmissionarios.blogspot.com/p/enderecos.html;PR;;-25,075;-50,184
Congregação Franciscanas de Ingolstadt;Estrada Eduardo Burgart,2041;Contorno;84045-981;Ponta Grossa;lucia.zander@acf.org.br;(42)3239-5342 (42)3239-1623;ir.mariaema@franciscanas.org.br;PR;;-25,109;-50,147
Mosteiro Trapista Nossa Senhora do Novo Mundo;Estrada PR 427 km 7 nº 3301;;83870-000;Campo do Tenente;hospedariatrapista@gmail.com;(41)3628-1264;http://www.mosteirotrapista.org.br/;PR;;-25,981;-49,685
Mosteiro do Encontro;;Caixa Postal 13.103;83800-000;Mandirituba;occursus@terra.com.br;3633-1082;https://www.mosteirodoencontro.org.br/;PR;;-25,778;-49,329
Mosteiro Mãe da Providência;Rua São José,720;Claudete;85807-420;Cascavel;mosteiromaedaprovidencia@gmail.com;(45)3039-0025;https://www.facebook.com/pages/Mosteiro-Das-Irmas-Clarissas-Mae-Da-Providencia/1715477425335556;PR;;-24,962;-53,449
Arautos do Evangelho - Maringá- Mosteiro;Estrada Morangueira, 3140;Parque Industrial Duzentos;87035-570;Maringá;arautosmga@gmail.com;(44)3028-6596;https://maringa.arautos.org/;PR;;-23,417;-51,948
Mosteiro Mater Carmeli;Av. Guanabara, 887;Parque Morumbi;87703-020;Paranavaí;contato@carmelitas.org.br;(44)3244-4633 (44)984160602;https://www.facebook.com/mosteiro.matercarmeli/;PR;;-23,074;-52,465
Mosteiro Nossa Senhora de Fátima;Rua Brasília;Brasília;85504-400;Pato Branco;;(46)3224-4111;https://m.facebook.com/profile.php;PR;;;
Mosteiro Preciosíssimo Sangue de Jesus;R. Quintino Bocaiúva, 301;Centro;86400-000;Jacarezinho;sacrosangue.ocaminho@gmail.com precsanguedecristo@ocaminho.org;(43)3525-8740;https://www.ocaminho.org/copia-corbelia-penha-parana-1;PR;;-23,158;-49,978
Mosteiro Nossa Senhora do Carmo e São José;Travessa do Mosteiro,101;Seminário;85605-429;Francisco Beltrão;Versf.ocd@gmail.com mosteiro_carmelita_fb@hotmail.com;(46)3523;http://irmascarmelitas.com.br/ http://www.filhasdarainhadocarmelo.blogspot.com.br/;PR;;-26,067;-53,032
Mosteiro Nossa Senhora de Guadalupe;Rua Celestina Bortoletto Cavalin, 670;Jardim Nova Esperança;86044-665;Londrina;mnsguadalupe.ocd@sercomtel.com.br;(43)3342-5405;;PR;;-23,3;-51,163
Convento Santa Maria dos Anjos;Rua Pedro Nolasko da Silva, 178;Jd TóKio;86063-050;Londrina;;Paróquia: (43)3338 Residência: (43)3327;;PR;;-23,335;-51,163
Mosteiro São Josafat;R. Cândido de Abreu, 1636;Prudentópolis;84400-000;Prudentópolis;;(42)3446-1140;https://www.facebook.com/basilianos/;PR;;-25,212;-50,977
Convento Solicitude;R. Dr. Petrônio Romero de Souza, 930;Conjunto Mercúrio;82970-020;Curitiba;;;https://www.facebook.com/Convento-Solitude-Curitiba-PR-488565007934076/;PR;;-25,475;-49,208
Mosteiro Monte Carmelo- Reitoria Nossa Senhora do Carmo;Rua La Salle, 850;Pinheirinho;81880-400;Curitiba;amorquealivia@gmail.com;(41)3349-1681;https://www.facebook.com/reitoriadocarmo/;PR;;-25,428;-49,332
Carmelo Nossa Senhora Assunçao e São José;Rua Dr. Joaquim Ignácio Silveira da Motta, 540;Guabirotuba;81520-280;Curitiba;;(41)3296-9711;http://www.carmelocuritiba.com.br/index.php;PR;;-25,39;-49,273
Mosteiro Nossa Senhora do Carmo;BR 369 Km 4 Saída para Mamborê e Caixa postal 652;;87300-970;Campo Mourão;carmelodecampomourao@gmail.com;(44)3523-5427;;PR;;-24,046;-52,384
Convento São José;Fr. Tiago Lucchese, 20;Bairro Santana;85070-610;Guarapuava;;(42)3622;https://fmmissionarios.blogspot.com/p/enderecos.html;PR;;-25,381;-51,458
Mosteiro e Noviciado Assunção de Nossa Senhora;Praça Tarás Schevtchenko, 845 e Caixa Postal, 07;;84460-000;Ivaí;;3247-1242;;PR;;-25,007;-50,858
Mosteiro Cistercienses Nossa Senhora Aparecida;Eduardo Eias Zahran,211;Vila Santa Dorotheia;79004-001;Campo Grande;mosteirocgradm@gmail.com;(67)3042-4094;https://www.facebook.com/monjascistercienses/;MS;;-20,47;-54,62
Mosteiro Nossa Senhora dos Anjos- Ordem de Santa Clara;Srg.Moisés Soares da Silva,100 Quadra 06 - Lote 15;Parque Alvorada;79823-250;Dourados;mosteirosantamariadosanjos@hotmail.com;(67)3426-8834 (67)99821-1613;https://www.clarissas.net.br/mosteirosAll.php;MS;;-22,213;-54,833
Frades Menores Capuchinhos;Frei Gregório,599;Jardim Monte Líbano;79004-580;Campo Grande;bcapuchinhos@gmail.com;(67)3201-1357;https://www.capuchinhos.org.br/#Unidades https://www.facebook.com/capuchinhosbc/;MS;;-20,477;-54,608
Convento Santa Teresinha do Menino Jesus;Av. Padre José Daniel;Centro;79719-000;Vicentina;;(67)98424-8393;https://carmelitasmensageiros.org/;MS;;;
Mosteiro da Santa Cruz;Rodovia Municipal AN 01, km 8, s/n;Zona Rural;75024-970;Anápolis;porteiro.anapolis@gmail.com;(62)3142-0059;https://www.facebook.com/MosteiroSantaCruzAnapolis/;GO;;-16,329;-48,957
Mosteiro Mãe de Deus;R. Abel Rodrigues Chaveiro número 01;Santo Hilario 2;74780-815;Goiânia;mmaedeus@gmail.com;(62)98403-9205 (62)3206-1170;https://www.facebook.com/monjasbeneditinasgo/ https://monasteriummaterde.wixsite.com/maededeus/loja;GO;;-16,596;-49,168
Mosteiro São José;Av. Antônio Carlos Paniago - Sn;Caixa Postal 15;75830-000;Mineiros;mosteiro@msaojose.org;(64)3661-1388;http://msaojose.org/ https://www.facebook.com/mosteirosjose/;GO;;;
Carmelo da Santíssima Trindade e Imaculada Conceição;Av. Cel. Gabriel Alves de Carvalho, 667;Santuário;75380-000;Trindade;;(62)3505-4686;https://www.facebook.com/Carmelo-Sant%C3%ADssima-Trindade-e-da-Imaculada-Concei%C3%A7%C3%A3o-1620251074889241/;GO;;;
Convento São Francisco de Assis;Nona Avenida,111;Leste Universitário;74603-010;Goiânia;paroquiaschico@gmail.com;(62)3218;https://www.facebook.com/paroquiafranciscogo;GO;;-16,686;-49,242
Convento Mãe Dolorosa;Jardim Dom Fernando;;;Goiânia;alvarilhao@gmail.com;(62)32081044;https://www.facebook.com/ssmbrasil;GO;;;
Convento Mãe Admirável - Irmãs Franciscanas de Allegany;Av. Me. Maria dos Anjos, 1850;Jundiaí;75110-430;Anápolis;;(62)3333-3800;http://franciscanasgo.org.br/maeantiga/;GO;;-16,335;-48,934
Mosteiro Santa Clara - Sede da Sagrada Família;Av. Dom Prudêncio, 291;Jundiaí;75113-080;Anápolis;clarissasanapolis@hotmail.com;(62)3702-4249;http://www.clarissas.net.br/mosteirosAll.php;GO;;-16,333;-48,944
Igreja do Rosário - Convento Dominicano;Praça Largo do Rosário;Pc Largo do Rosário;76600-000;Goiás;;(62)3371-1116;https://m.facebook.com/pages/Igreja-do-Ros%C3%A1rio-convento-Dominicano-S-Central/1717460825159288;GO;;-15,934;-50,14
CONVENTO SÃO JUDAS TADEU;Rua 242, nº 100;Setor Coimbra;74535-060;Goiânia;secretariaprovincia@dominicanos.org.br;(62)3928-1333 (62)99417-2721;http://www.dominicanos.org.br/site457/detalhes8.php http://saojudasgyn.com.br/site/;GO;;-16,676;-49,284
Convento Santa Maria dos Anjos;;;;;;;;GO;;;
Convento Porciuncula;;;;;;;;GO;;;
Convento São Francisco;;;;;;;;GO;;;
Frades Menores Capuchinhos- Águas Lindas de Goiás;;;;;;;;GO;;;
Irmãs Franciscanas da Divina Misericórdia- Marianópolis;;;;;;;;GO;;;
Mosteiro São Bento;St. Hermida Dom Bosco;Lago Sul;70297-400;Brasília;mosteiro@msbento.org.br;(61)3367-2949;http://www.msbento.org.br/;DF;;-15,791;-47,893
Carmelo Nossa Senhora do Carmo;Shdb Parq Erm.dom Bosco, S/N, AREA ESPECIAL 04;Lago Sul;70297-400;Brasília;ocds.stateresinhadf@yahoo.com.br;(61)3367-6837 (61)3032-8480;https://www.facebook.com/pages/Carmelo-Nossa-Senhora-Do-Carmo/198964476933679;DF;;-15,791;-47,893
Pequenas Missionárias de Maria Rosa Mística;Núcleo Rural Ponte Alta;Pte. Alta Norte (Gama);72506-970;Brasília;;(61)3458-2586;;DF;;;
Mosteiro Santa Clara de Deus Trino;72225-971 Caixa Postal 7325;Ceilândia Centro;72225-971;Brasília;;(61)9982-8228 (VIVO) 8214-9086;http://www.clarissas.net.br/mosteirosAll.php;DF;;-15,813;-48,104
Convento Elisabete da Trindade;;;;;;;;DF;;;
Convento Santo Antonio dos Frades Franciscanos Menores;;;;;;;;DF;;;
Convento Marie Elisabeth Heini;;;;;;;;DF;;;
Convento da Penha;;;;;;;;ES;;;
Carmelo de Nazaré- Irmãs Carmelitas;Rod. Gov. José Henrique Sette;Itaquari;29154-580;Cariacica;;(27)3336-4215;https://www.facebook.com/carmelodenazare/;ES;;-20,304;-40,392
Convento Nossa Senhora da Penha;R. Vasco Coutinho;Prainha;29100-231;Vila Velha;convento.penha@gmail.com;(27)3329-0420;https://conventodapenha.org.br/contato/;ES;;-20,33;-40,289
Mosteiro São Bento;Rua Dom Gerardo, 68;Centro;20090-030;Rio de Janeiro;https://www.mosteirodesaobentorio.org.br/contato;(21)2206-8100;https://www.mosteirodesaobentorio.org.br/;RJ;;-22,898;-43,179
Convento de Nossa Senhora da Conceição da Ajuda;R. Barão de São Francisco, 387;Vila Isabel;20541-371;Rio de Janeiro;;(21)2576-1556;https://www.facebook.com/Convento-de-Nossa-Senhora-da-Concei%C3%A7%C3%A3o-da-Ajuda-100377408411760/;RJ;;-22,917;-43,251
Mosteiro das Clarissas de Nossa Senhora dos Anjos da porciúncula;Rua do Jequitibá, 41;Gávea;22740-110;Rio de Janeiro;irmasclarissas@gmail.com;(21)2274;www.irmasclarissas.org.br;RJ;;-22,93;-43,363
Convento Santo Tomás dAquino;Rua General Ribeiro da Costa, 164;Leme;22010-050;Rio de Janeiro;;;http://www.dominicanos.org.br/site457/detalhes8.php;RJ;;-22,962;-43,17
Convento Santa Teresa;Ladeira de Santa Teresa, 52;Santa Teresa;20241-140;Rio de Janeiro;https://www.facebook.com/conventodesantateresarj;;https://www.facebook.com/conventodesantateresarj;RJ;;-22,916;-43,18
Provincia Carmelita de Santo Elias;Rua Moraes e Vale, 111;Lapa;20021-260;Rio de Janeiro;contato@carmelitas.org.br;(21)3094-8300;https://carmelitas.org.br/;RJ;;-22,915;-43,177
Convento de Santo Antonio;Largo da Carioca, s/n;;20050-020;Rio de Janeiro;convento.santoantonio@yahoo.com.br;(21)2262-0129;http://conventosantoantonio.org.br/;RJ;;-22,907;-43,18
Mosteiro da Sagrada Face e da Reparação;Rua Dr. Osvaldo Campos, 817 Cx. Postal 77184;;28970-000;Araruama;;(24)2665-1149;http://www.clarissas.net.br/mosteirosAll.php;RJ;;-22,864;-42,334
Mosteiro Santa Clara - Nova Iguaçu;Rua Santa Clara, 229;Botafogo;26210-970;Nova Iguaçu;irmasclarissasnovaiguacu@gmail.com;(21)2669-2994 2881-2458;http://mosteiroclarissasnovaiguacu.blogspot.com;RJ;;-22,759;-43,451
Convento São Francisco de Assis OFM;;;;;;;;RJ;;;
Convento e Capela Nossa Senhora das Dores;;;;;;;;RJ;;;
Carmelo da Imaculada Conceição;Tv. Dom José Palmeira Lessa Cx. Postal: 11;Fernandes;49900-000;Propriá;;(79)3322-1686;https://www.facebook.com/pages/Carmelo%20da%20Imaculada%20Concei%C3%A7%C3%A3o-Propri%C3%A1%20SE/201793753995407/;SE;;-10,212;-36,837
Mosteiro Maria Stella Matutina;Rua João Ribeiro de Almeida, 298;Robalo;49004-460;Aracaju;irmasdemariastellamatutina@gmail.com;(79)3227-4236;https://mariastellamatutinaracaju.webnode.com/;SE;;-11,037;-37,107
CONGREGAÇÃO DAS IRMÃS DA CARIDADE DE NAMUR;Rua Antônio Machado, 128;;49970-000;Pacatuba;;(79)3343-1338;;SE;;-10,451;-36,647
CONGREGAÇÃO DAS IRMÃS POBRES FILHAS DA VISITAÇÃO DE MARIA;Praça João da Silva Barroso, 277;;49985-000;Santana do São Francisco;;(79)3339-1244;;SE;;-10,293;-36,611
CONGREGAÇÃO DAS MISSIONÁRIAS DE JESUS CRUCIFICADO;Rua Jovino Tojal, 97;;49995-000;Brejo Grande;;(79)3366-1065;;SE;;-10,425;-36,463
MISSIONÁRIAS DE JESUS NO MEIO DOS POBRES;RUA do Bujão, 21;;49810-000;Poço Redondo;;(79)3337-1268;;SE;;-9,807;-37,684
MISSIONÁRIAS DE JESUS NO MEIO DOS POBRES;Rua do Matadouro, 9;;49860-000;Graccho Cardoso;;(79)3319-1159;;SE;;-10,202;-37,233
CONGREGAÇÃO DE SANTA TERESINHA;Pov. Santa Rosa do Ermírio;;49810-000;Poço Redondo;;(79)3357-5042;;SE;;-9,807;-37,684
CONGREGAÇÃO SERVAS DO SSMO. E DA CARIDADE – CASA DE REPOUSO;Av. Hermes Vieira, s/n;;49790-000;Aquidabã;;(79)3341-1505;;SE;;-10,278;-37,015
IRMÃS FILHAS DE SANTO EUZÉBIO;Rua da Igreja, 102;;49940-000;Malhada dos Bois;;(79)3365-1004;;SE;;-10,342;-36,926
IRMÃS FRANCISCANA HOSPITALEIRAS DA IMACULADA CONCEIÇÃO;Colégio Nossa Senhora das Graças-Praça Tobias Barreto, 01;;49900-000;Propriá;;(79)3322-1633;;SE;;-10,212;-36,837
Igreja e Convento São Francisco;;;;;;;;SE;;;
Convento dos Frades Carmelitas;;;;;;;;PE;;;
Convento São Boa Ventura;;;;;;;;PE;;;
Convento de Santo Antônio;;;;;;;;PE;;;
Convento dos Capuchinhos;;;;;;;;PE;;;
Convento Encruzilhada;;;;;;;;PE;;;
Carmelo da Imaculada Conceição;;;;;;;;PE;;;
Convento da Sagrada Família;;;;;;;;PE;;;
Convento de Santo António;;;;;;;;PE;;;
Convento São Felix Cantalice;;;;;;;;PE;;;
Convento de São Francisco;;;;;;;;PE;;;
Mosteiro de São Bento;Caixa Postal 23;;55293-970;Garanhuns;;;;PE;;-8,892;-36,496
Convento Recife;;;;;;;;PE;;;
Convnto Nossa Senhora da Glória;;;;;;;;PE;;;
Mosteiro Ortodoxo Sérvio da Santíssima Trindade;;;;;ighumenpedro@yahoo.com;98754-3575;https://www.facebook.com/Mosteiro-Ortodoxo-S%C3%A9rvio-da-Sant%C3%ADssima-Trindade-128977807708859/;PE;;;
Mosteiro da Virgem Maria Mãe da Ternura;;;;;;;;PE;;;
Mosteiro de São Bento de Olinda;Caixa Postal 975;;50001-970;Recife;;;;PE;;;
Mosteiro de N. Sra. do Monte;Praca N. Sra. do Monte, s/n;Bultrins;53240-760;Olinda;;;;PE;;-8,001;-34,854
Mosteiro Mãe da Ternura;;;;;;;;PB;;;
Carmelo do Sagrado Coração de Jesus e Madre Teresa;;;;;;;;PB;;;
Convento Ipuarana;;;;;;;;PB;;;
Convento Redentorista;;;;;;;;PB;;;
Mosteiro das Clarissas;;;;;;;;PB;;;
Convento São Francisco de Assis;;;;;;;;PB;;;
Mosteiro Ortodoxo de São Nicolau;;;;;;;;PB;;;
Carmelo Santa Maria Mãe de Deus;;;;;;;;PB;;;
Irmãs Carmelitas Missionárias;;;;;;;;PB;;;
Convento São José;;;;;;;;PB;;;
Convento dos Maristas;;;;;;;;PB;;;
Convento das Irmãs Clarissas;;;;;;;;PB;;;
Convnto de São Francisco de Assis;;;;;;;;PB;;;
Convento Frei Casa Nova;;;;;;;;PB;;;
Convento das Franciscanas;;;;;;;;PB;;;
Convento dos Frades Menores Conventuais;;;;;;;;PB;;;
Convento de São Frei Pedro Gonçalves;;;;;;;;PB;;;
Igreja e Convento São Bento;;;;;;;;PB;;;
Mosteiro São Bento de Fortaleza;;;;;;;;CE;;;
Convento das Irmãs Capuchinhas;;;;;;;;CE;;;
Carmelo Santa Teresinha;;;;;;;;CE;;;
Mosteiro da Imaculada Conceição;;;;;;;;CE;;;
Irmãs Josefinas;;;;;;;;CE;;;
Convento de Nossa Senhora das Dores;;;;;;;;CE;;;
Casa Provincial - Irmãs de Santa Elisabete;;;;;;;;CE;;;
Instituto Filhas da Pobreza do Santíssimo Sacramento;;;;;;;;CE;;;
Franciscanos Conventuais;;;;;;;;CE;;;
Convento Irmãs Porciunculas;;;;;;;;CE;;;
Mosteiro Rainhas dos Anjos e São José;;;;;;;;CE;;;
Irmãs Cordimarianas;;;;;;;;CE;;;
Congregação Filhas de São José;;;;;;;;CE;;;
Mosteiro Santíssimo Sacramento;Rua Paulino Barroso, 1506 Cx. Postal 31;Santa Clara;62700-000;Canindé;clarissascanindé@gmail.com;(85)3343-0126;;CE;;-4,358;-39,314
Mosteiro da Visitação;Rua Boaventura, 945;Dias Macedo;60860-440;Fortaleza;;;;CE;;-3,784;-38,521
Mosteiro Santa Clara;;;;;;;;RN;;;
Convento dos Padres Franciscanos;;;;;;;;RN;;;
Instituto Hesed Natal - Mosteiro Nossa Senhora de Fátima;;;;;;;;RN;;;
Mosteiro de Santa Ana;;;;;;;;RN;;;
Carmelo Nossa Senhora do Sorriso e Santa Teresinha;;;;;;;;RN;;;
Convento da Sociedade Missionárias Apóstalas da Palavra;;;;;;;;RN;;;
Convento Santo Antônio;;;;;;;;RN;;;
Convento dos Franciscanos;;;;;;;;RN;;;
Mosteiro de São Bento;;;;;;;;RN;;;
Mosteiro das Irmãs de Belém;;;;;;;;RN;;;
Mosteiro Nossa Senhora de Guadalupe;Irmã Coleta, 01 Cx. Postal 110;;59300-000;Caicó;mosteiroguadalupe@hotmail.com;(84)3421-1182;http://www.clarissas.net.br/mosteirosAll.php;RN;;-6,46;-37,094
Mosteiro Fraternidade São Francisco de Assis;Av. Herondina Cavalcante Dantas, 22;Dom Jaime Câmara;59628-800;Mossoró;mosteiro.fsfa@hotmail.com;(84)3312-0512;http://www.clarissas.net.br/mosteirosAll.php;RN;;-5,223;-37,324
Mosteiro do Sagrado Coração de Jesus e Imaculada Conceição;Fazenda Melancias - s/n Km 4;;64800-000;Floriano;;(89)3522-2535;;PI;;;
Carmelo Santa Teresa de Jesus;Rua Carmelo, 1605;Angelim;64032-000;Teresina;;;;PI;;;
Convento Nossa Senhora dos Anjos;Av. José Soares, 1701-1791;Angelim;64034-400;Teresina;;;;PI;;;
Convento São Benedito;Av. Frei Serafim, 1626;Centro;64001-020;Teresina;;(86)3222-2667;;PI;;-5,086;-42,802
Convento São Sebastião;Av. São Sebastião, 818 – Campos;;64215-020;Parnaíba;saosebastiaoparnaiba@yahoo.com.br;(86)3322-1366;;PI;;-2,91;-41,77
Cetim, Irmãs Teresinas;Leôncio Píres Dourado, 1996;Bacuri;65901-020;Imperatriz;;(99)98175-5900;;MA;;-5,538;-47,473
Congregação das Irmãs de São José;Rua Nelson Carvalho, 277;;65360-000;Monção;rosenilda.santos@yahoo.com.br cssjmoncao@yahoo.com;(98)992236886;http://irmasdesaojose.com.br/portal/acongregacao/adelegacaobrasileira/maranhao-sao-luis-aurora/;MA;;-3,482;-45,25
Convento das Irmãs do Preciosíssimo Sangue;Santa Filomena;;65727-000;Trizidela do Vale;;;;MA;;-4,538;-44,628
Mosteiro Bom Pastor;;;;Coroata;https://mosteirodobompastor.webs.com/nossahistria.htm;;https://mosteirodobompastor.webs.com/nossahistria.htm;MA;;;
Convento Nossa Senhora dos Capuchinhos;Gov. Epitácio Cafeteira, S/N;Vila Conceição (Coroadinho);65040-710;São Luís;;;;MA;;-2,57;-44,23
Carmelo São José;São Carmelo, 40;Pirapora;65048-410;São Luís;;;https://www.facebook.com/Espa%C3%A7o-Mon%C3%A1stico-Carmelitas-Descal%C3%A7as-em-S%C3%A3o-Lu%C3%ADs-1555376351146036/;MA;;-2,558;-44,242
Convento das Irmãs da Misericórdia;Boa Esperança, 142;Cantinho do Céu;65066-190;São Luís;;;;MA;;-2,523;-44,233
Convento Nossa Senhora do Carmo;R. do Egito, 102;Centro;65020-230;São Luís;;(98)3301-7758;;MA;;-2,53;-44,295
Convento Franciscano;Sete de Setembro, 95;Centro Histórico;57200-000;Penedo;;;;AL;;-10,289;-36,584
Convento Nossa Senhora dos Anjos;Sete de Setembro, 218;Centro Histórico;57200-000;Penedo;;(82)3551-2279;https://www.facebook.com/Hospedariafranciscanapenedo/;AL;;-10,289;-36,584
Mosteiro da Natividade do Senhor;Olimpio Carvalho da Paixão, 456 Caixa postal 103;Boa Vista;57300-970;Arapiraca;mosteirodanatividadedosenhor@gmail.com;(82)3539-3212 (82)9997-0157;https://mosteirodanatividadedosenhor.webnode.com/;AL;;-9,756;-36,664
Carmelo Santa Teresinha do Menino Jesus;AL-101, 17;Riacho Doce;57039-230;Maceió;carmelodemaceio@gmail.com;(82)3235-2748;https://www.facebook.com/carmelosantateresinhamaceioal/;AL;;-9,656;-35,735
Mosteiro da Santíssima Trindade;Quarenta e Nove, 244,;;;Maceió;https://www.facebook.com/pages/Mosteiro%20Nossa%20Senhora%20da%20Sant%C3%ADssima%20Trindade/194819297227863/;(82)3324-4899;https://mosteiro-ro.blogspot.com/p/quem-somos.html;AL;;;
Convento dos Capuchinhos;Joaquim Nabuco, 148;Farol;57052-410;Macieó;;(82)3326-4321;https://m.facebook.com/pages/Convento-dos-Capuchinhos/128520203888312;AL;;-9,613;-35,733
